token	pos	chunk	NER	previous	following	capitals
$	$	I-NP	O	to	2.693	NC
2.693	CD	I-NP	O	$	billion	NC
billion	CD	I-NP	O	2.693	.	NC
.	.	O	O	billion	Over	NC
Over	IN	I-PP	O	.	the	C
the	DT	I-NP	O	Over	seven	NC
seven	CD	I-NP	O	the	months	NC
months	NNS	I-NP	O	seven	,	NC
,	,	O	O	months	the	NC
the	DT	I-NP	O	,	private	NC
private	JJ	I-NP	O	the	sector	NC
sector	NN	I-NP	O	private	accounted	NC
accounted	VBD	I-VP	O	sector	for	NC
for	IN	I-PP	O	accounted	76	NC
76	CD	I-NP	O	for	percent	NC
percent	NN	I-NP	O	76	of	NC
of	IN	I-PP	O	percent	total	NC
total	JJ	I-NP	O	of	exports	NC
exports	NNS	I-NP	O	total	,	NC
,	,	O	O	exports	with	NC
with	IN	I-PP	O	,	""""	NC
""""	""""	O	O	with	common	NC
common	JJ	I-NP	O	""""	metals	NC
metals	NNS	I-NP	O	common	""""	NC
""""	""""	O	O	metals	the	NC
the	DT	I-NP	O	""""	strongest	NC
strongest	JJS	I-NP	O	the	export	NC
export	NN	I-NP	O	strongest	sector	NC
sector	NN	I-NP	O	export	accounting	NC
accounting	NN	I-NP	O	sector	for	NC
for	IN	I-PP	O	accounting	$	NC
$	$	I-NP	O	for	951	NC
951	CD	I-NP	O	$	million	NC
million	CD	I-NP	O	951	,	NC
,	,	O	O	million	or	NC
or	CC	O	O	,	42.5	NC
42.5	CD	I-NP	O	or	percent	NC
percent	NN	I-NP	O	42.5	of	NC
of	IN	I-PP	O	percent	total	NC
total	JJ	I-NP	O	of	exports	NC
exports	NNS	I-NP	O	total	.	NC
.	.	O	O	exports	""""	NC
""""	""""	O	O	.	Chemical	NC
Chemical	NNP	I-NP	O	""""	products	C
products	NNS	I-NP	O	Chemical	""""	NC
""""	""""	O	O	products	came	NC
came	VBD	I-VP	O	""""	next	NC
next	JJ	I-ADVP	O	came	with	NC
with	IN	I-PP	O	next	a	NC
a	DT	I-NP	O	with	13	NC
13	CD	I-NP	O	a	percent	NC
percent	NN	I-NP	O	13	share	NC
share	NN	I-NP	O	percent	,	NC
,	,	O	O	share	then	NC
then	RB	I-ADVP	O	,	""""	NC
""""	""""	O	O	then	transport	NC
transport	NN	I-NP	O	""""	materials	NC
materials	NNS	I-NP	O	transport	""""	NC
""""	""""	O	O	materials	with	NC
with	IN	I-PP	O	""""	nine	NC
nine	CD	I-NP	O	with	percent	NC
percent	NN	I-NP	O	nine	,	NC
,	,	O	O	percent	and	NC
and	CC	O	O	,	finally	NC
finally	RB	I-ADVP	O	and	foods	NC
foods	NNS	I-NP	O	finally	,	NC
,	,	O	O	foods	drinks	NC
drinks	NNS	I-NP	O	,	and	NC
and	CC	I-NP	O	drinks	tobacco	NC
tobacco	NN	I-NP	O	and	with	NC
with	IN	I-PP	O	tobacco	6.3	NC
6.3	CD	I-NP	O	with	percent	NC
percent	NN	I-NP	O	6.3	.	NC
.	.	O	O	percent	Colombia	NC
Colombia	NNP	I-NP	LOC	.	was	C
was	VBD	I-VP	O	Colombia	the	NC
the	DT	I-NP	O	was	chief	NC
chief	JJ	I-NP	O	the	market	NC
market	NN	I-NP	O	chief	for	NC
for	IN	I-PP	O	market	Venezuela	NC
Venezuela	NNP	I-NP	LOC	for	's	C
's	POS	B-NP	O	Venezuela	non-traditional	NC
non-traditional	NN	I-NP	O	's	exports	NC
exports	NNS	I-NP	O	non-traditional	with	NC
with	IN	I-PP	O	exports	27.4	NC
27.4	CD	I-NP	O	with	percent	NC
percent	NN	I-NP	O	27.4	.	NC
.	.	O	O	percent	The	NC
The	DT	I-NP	O	.	U.S.	C
U.S.	NNP	I-NP	LOC	The	followed	C
followed	VBD	I-VP	O	U.S.	with	NC
with	IN	I-PP	O	followed	a	NC
a	DT	I-NP	O	with	24.6	NC
24.6	CD	I-NP	O	a	percent	NC
percent	NN	I-NP	O	24.6	share	NC
share	NN	I-NP	O	percent	.	NC
.	.	O	O	share	--	NC
--	:	I-NP	O	.	Caracas	NC
Caracas	NNP	I-NP	LOC	--	newsroom	C
newsroom	NN	I-NP	O	Caracas	,	NC
,	,	O	O	newsroom	582	NC
582	CD	I-NP	O	,	834405	NC
834405	CD	I-NP	O	582	REUTER	NC
REUTER	NN	I-NP	PER	834405	JPR	C
JPR	NNS	I-NP	O	REUTER	Buenos	C
Buenos	NNP	I-NP	LOC	JPR	Aires	C
Aires	NNP	I-NP	LOC	Buenos	fraud	C
fraud	NN	I-NP	O	Aires	cops	NC
cops	NNS	I-NP	O	fraud	held	NC
held	VBD	I-VP	O	cops	in	NC
in	IN	I-PP	O	held	extortion	NC
extortion	NN	I-NP	O	in	racket	NC
racket	NN	I-NP	O	extortion	.	NC
.	.	O	O	racket	BUENOS	NC
BUENOS	NNP	I-NP	LOC	.	AIRES	C
AIRES	NNP	I-NP	LOC	BUENOS	,	C
,	,	O	O	AIRES	Argentina	NC
Argentina	NNP	I-NP	LOC	,	1996-08-29	C
1996-08-29	CD	I-NP	O	Argentina	Thirteen	NC
Thirteen	VBN	I-VP	O	1996-08-29	senior	C
senior	JJ	I-NP	O	Thirteen	police	NC
police	NNS	I-NP	O	senior	officers	NC
officers	NNS	I-NP	O	police	from	NC
from	IN	I-PP	O	officers	the	NC
the	DT	I-NP	O	from	fraud	NC
fraud	NN	I-NP	O	the	squad	NC
squad	NN	I-NP	O	fraud	of	NC
of	IN	I-PP	O	squad	Buenos	NC
Buenos	NNP	I-NP	LOC	of	Aires	C
Aires	NNP	I-NP	LOC	Buenos	province	C
province	NN	I-NP	O	Aires	have	NC
have	VBP	I-VP	O	province	been	NC
been	VBN	I-VP	O	have	arrested	NC
arrested	VBN	I-VP	O	been	on	NC
on	IN	I-PP	O	arrested	charges	NC
charges	NNS	I-NP	O	on	of	NC
of	IN	I-PP	O	charges	running	NC
running	VBG	I-VP	O	of	an	NC
an	DT	I-NP	O	running	extortion	NC
extortion	NN	I-NP	O	an	racket	NC
racket	NN	I-NP	O	extortion	,	NC
,	,	O	O	racket	security	NC
security	NN	I-NP	O	,	officials	NC
officials	NNS	I-NP	O	security	said	NC
said	VBD	I-VP	O	officials	on	NC
on	IN	I-PP	O	said	Thursday	NC
Thursday	NNP	I-NP	O	on	.	C
.	.	O	O	Thursday	They	NC
They	PRP	I-NP	O	.	included	C
included	VBD	I-VP	O	They	all	NC
all	PDT	I-NP	O	included	the	NC
the	DT	I-NP	O	all	top	NC
top	JJ	I-NP	O	the	officers	NC
officers	NNS	I-NP	O	top	from	NC
from	IN	I-PP	O	officers	the	NC
the	DT	I-NP	O	from	fraud	NC
fraud	NN	I-NP	O	the	division	NC
division	NN	I-NP	O	fraud	of	NC
of	IN	I-PP	O	division	the	NC
the	DT	I-NP	O	of	north	NC
north	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	north	Buenos	NC
Buenos	NNP	I-NP	LOC	of	Aires	C
Aires	NNP	I-NP	LOC	Buenos	province	C
province	NN	I-NP	O	Aires	,	NC
,	,	O	O	province	including	NC
including	VBG	I-PP	O	,	Commissioner	NC
Commissioner	NNP	I-NP	O	including	Juan	C
Juan	NNP	I-NP	PER	Commissioner	Carlos	C
Carlos	NNP	I-NP	PER	Juan	Lago	C
Lago	NNP	I-NP	PER	Carlos	.	C
.	.	O	O	Lago	Police	NC
Police	NNS	I-NP	O	.	were	C
were	VBD	I-VP	O	Police	seeking	NC
seeking	VBG	I-VP	O	were	a	NC
a	DT	I-NP	O	seeking	14th	NC
14th	JJ	I-NP	O	a	officer	NC
officer	NN	I-NP	O	14th	.	NC
.	.	O	O	officer	La	NC
La	NNP	I-NP	ORG	.	Nacion	C
Nacion	NNP	I-NP	ORG	La	newspaper	C
newspaper	NN	I-NP	O	Nacion	said	NC
said	VBD	I-VP	O	newspaper	the	NC
the	DT	I-NP	O	said	officers	NC
officers	NNS	I-NP	O	the	were	NC
were	VBD	I-VP	O	officers	suspected	NC
suspected	VBN	I-VP	O	were	of	NC
of	IN	I-PP	O	suspected	demanding	NC
demanding	JJ	I-NP	O	of	bribes	NC
bribes	NNS	I-NP	O	demanding	of	NC
of	IN	I-PP	O	bribes	$	NC
$	$	I-NP	O	of	50,000	NC
50,000	CD	I-NP	O	$	to	NC
to	TO	I-NP	O	50,000	$	NC
$	$	I-NP	O	to	500,000	NC
500,000	CD	I-NP	O	$	from	NC
from	IN	I-PP	O	500,000	companies	NC
companies	NNS	I-NP	O	from	being	NC
being	VBG	I-VP	O	companies	investigated	NC
investigated	VBN	I-VP	O	being	for	NC
for	IN	I-PP	O	investigated	tax	NC
tax	NN	I-NP	O	for	evasion	NC
evasion	NN	I-NP	O	tax	in	NC
in	IN	I-SBAR	O	evasion	order	NC
order	NN	O	O	in	to	NC
to	TO	I-VP	O	order	""""	NC
""""	""""	O	O	to	lose	NC
lose	VB	I-VP	O	""""	""""	NC
""""	""""	O	O	lose	their	NC
their	PRP$	I-NP	O	""""	files	NC
files	NNS	I-NP	O	their	.	NC
.	.	O	O	files	The	NC
The	DT	I-NP	O	.	credibility	C
credibility	NN	I-NP	O	The	of	NC
of	IN	I-PP	O	credibility	the	NC
the	DT	I-NP	O	of	Buenos	NC
Buenos	NNP	I-NP	LOC	the	Aires	C
Aires	NNP	I-NP	LOC	Buenos	provincial	C
provincial	JJ	I-NP	O	Aires	police	NC
police	NN	I-NP	O	provincial	,	NC
,	,	O	O	police	the	NC
the	DT	I-NP	O	,	largest	NC
largest	JJS	I-NP	O	the	force	NC
force	NN	I-NP	O	largest	in	NC
in	IN	I-PP	O	force	Argentina	NC
Argentina	NN	I-NP	LOC	in	,	C
,	,	O	O	Argentina	has	NC
has	VBZ	I-VP	O	,	been	NC
been	VBN	I-VP	O	has	undermined	NC
undermined	VBN	I-VP	O	been	this	NC
this	DT	I-NP	O	undermined	year	NC
year	NN	I-NP	O	this	by	NC
by	IN	I-PP	O	year	scandals	NC
scandals	NNS	I-NP	O	by	that	NC
