token	pos	chunk	NER	previous	following	capitals
has	VBZ	I-VP	O	that	been	NC
been	VBN	I-VP	O	has	blown	NC
blown	VBN	I-VP	O	been	up	NC
up	RP	I-PRT	O	blown	around	NC
around	IN	I-PP	O	up	September	NC
September	NNP	I-NP	O	around	15	C
15	CD	I-NP	O	September	,	NC
,	,	O	O	15	""""	NC
""""	""""	O	O	,	Cimicchi	NC
Cimicchi	NNP	I-NP	PER	""""	said	C
said	VBD	I-VP	O	Cimicchi	.	NC
.	.	O	O	said	""""	NC
""""	""""	O	O	.	We	NC
We	PRP	I-NP	O	""""	want	C
want	VBP	I-VP	O	We	to	NC
to	TO	I-VP	O	want	help	NC
help	VB	I-VP	O	to	turn	NC
turn	VB	I-VP	O	help	down	NC
down	RP	I-PRT	O	turn	the	NC
the	DT	I-NP	O	down	rhetoric	NC
rhetoric	NN	I-NP	O	the	in	NC
in	IN	I-PP	O	rhetoric	a	NC
a	DT	I-NP	O	in	country	NC
country	NN	I-NP	O	a	that	NC
that	IN	I-SBAR	O	country	borders	NC
borders	NNS	I-NP	O	that	former	NC
former	JJ	B-NP	O	borders	Yugoslavia	NC
Yugoslavia	NNP	I-NP	LOC	former	yet	C
yet	RB	I-ADVP	O	Yugoslavia	in	NC
in	IN	I-PP	O	yet	which	NC
which	WDT	I-NP	O	in	people	NC
people	NNS	B-NP	O	which	are	NC
are	VBP	I-VP	O	people	still	NC
still	RB	I-VP	O	are	talking	NC
talking	VBG	I-VP	O	still	about	NC
about	IN	I-PP	O	talking	secession	NC
secession	NN	I-NP	O	about	,	NC
,	,	O	O	secession	""""	NC
""""	""""	O	O	,	he	NC
he	PRP	I-NP	O	""""	added	NC
added	VBD	I-VP	O	he	.	NC
.	.	O	O	added	Bossi	NC
Bossi	NNP	I-NP	PER	.	has	C
has	VBZ	I-VP	O	Bossi	intensified	NC
intensified	VBN	I-VP	O	has	his	NC
his	PRP$	I-NP	O	intensified	separatist	NC
separatist	JJ	I-NP	O	his	rhetoric	NC
rhetoric	NN	I-NP	O	separatist	since	NC
since	IN	I-SBAR	O	rhetoric	his	NC
his	PRP$	I-NP	O	since	Northern	NC
Northern	NNP	I-NP	ORG	his	League	C
League	NNP	I-NP	ORG	Northern	party	C
party	NN	I-NP	O	League	's	NC
's	POS	B-NP	O	party	good	NC
good	JJ	I-NP	O	's	showing	NC
showing	NN	I-NP	O	good	in	NC
in	IN	I-PP	O	showing	last	NC
last	JJ	I-NP	O	in	April	NC
April	NNP	I-NP	O	last	's	C
's	POS	B-NP	O	April	general	NC
general	JJ	I-NP	O	's	election	NC
election	NN	I-NP	O	general	,	NC
