token	pos	chunk	NER	previous	following	capitals
has	VBZ	I-VP	O	which	a	NC
a	DT	I-NP	O	has	presence	NC
presence	NN	I-NP	O	a	in	NC
in	IN	I-PP	O	presence	the	NC
the	DT	I-NP	O	in	cotton	NC
cotton	NN	I-NP	O	the	yarn	NC
yarn	NN	I-NP	O	cotton	,	NC
,	,	O	O	yarn	terry	NC
terry	RB	I-ADJP	O	,	towels	NC
towels	NNS	I-NP	O	terry	and	NC
and	CC	O	O	towels	polyester	NC
polyester	NN	I-NP	O	and	yarn	NC
yarn	NN	I-NP	O	polyester	industry	NC
industry	NN	I-NP	O	yarn	,	NC
,	,	O	O	industry	the	NC
the	DT	I-NP	O	,	statement	NC
statement	NN	I-NP	O	the	said	NC
said	VBD	I-VP	O	statement	.	NC
.	.	O	O	said	--	NC
--	:	O	O	.	Bombay	NC
Bombay	NN	I-NP	LOC	--	newsroom	C
newsroom	NN	I-NP	O	Bombay	+91-22-265	NC
+91-22-265	CD	I-NP	O	newsroom	9000	NC
9000	CD	I-NP	O	+91-22-265	India	NC
India	NNP	I-NP	LOC	9000	fishermen	C
fishermen	NNS	I-NP	O	India	say	NC
say	VBP	I-VP	O	fishermen	forced	NC
forced	VBN	I-VP	O	say	to	NC
to	TO	I-VP	O	forced	carry	NC
carry	VB	I-VP	O	to	Tamil	NC
Tamil	NNP	I-NP	MISC	carry	refugees	C
refugees	NNS	I-NP	O	Tamil	.	NC
.	.	O	O	refugees	P.V.	NC
P.V.	NNP	I-NP	PER	.	Krishnamoorthy	C
Krishnamoorthy	NNP	I-NP	PER	P.V.	RAMESWARAM	C
RAMESWARAM	NNP	I-NP	LOC	Krishnamoorthy	,	C
,	,	O	O	RAMESWARAM	India	NC
India	NNP	I-NP	LOC	,	1996-08-28	C
1996-08-28	CD	I-NP	O	India	Indian	NC
Indian	JJ	I-NP	MISC	1996-08-28	fishermen	C
fishermen	NNS	I-NP	O	Indian	said	NC
said	VBD	I-VP	O	fishermen	on	NC
on	IN	I-PP	O	said	Wednesday	NC
