token	pos	chunk	NER	previous	following	capitals
1996-08-26	CD	I-NP	O	CHICAGO	CBOT	NC
CBOT	NNP	I-NP	O	1996-08-26	rice	C
rice	NN	I-NP	O	CBOT	futures	NC
futures	NNS	I-NP	O	rice	closed	NC
closed	VBD	I-VP	O	futures	higher	NC
higher	RBR	I-ADVP	O	closed	on	NC
on	IN	I-PP	O	higher	a	NC
a	DT	I-NP	O	on	technical	NC
technical	JJ	I-NP	O	a	bounce	NC
bounce	NN	I-NP	O	technical	tied	NC
tied	VBD	I-VP	O	bounce	to	NC
to	TO	I-PP	O	tied	signs	NC
signs	NNS	I-NP	O	to	the	NC
the	DT	B-NP	O	signs	market	NC
market	NN	I-NP	O	the	was	NC
was	VBD	I-VP	O	market	oversold	NC
oversold	VBN	I-VP	O	was	,	NC
,	,	O	O	oversold	traders	NC
traders	NNS	I-NP	O	,	said	NC
said	VBD	I-VP	O	traders	.	NC
.	.	O	O	said	""""	NC
""""	""""	O	O	.	It	NC
It	PRP	I-NP	O	""""	rallied	C
rallied	VBD	I-VP	O	It	on	NC
on	IN	I-PP	O	rallied	ideas	NC
ideas	NNS	I-NP	O	on	the	NC
the	DT	B-NP	O	ideas	market	NC
market	NN	I-NP	O	the	was	NC
was	VBD	I-VP	O	market	oversold	NC
oversold	VBN	I-VP	O	was	,	NC
,	,	O	O	oversold	""""	NC
""""	""""	O	O	,	a	NC
a	DT	I-NP	O	""""	trader	NC
trader	NN	I-NP	O	a	said	NC
said	VBD	I-VP	O	trader	.	NC
.	.	O	O	said	Traders	NC
Traders	NNS	I-NP	O	.	said	C
said	VBD	I-VP	O	Traders	the	NC
the	DT	I-NP	O	said	U.S.	NC
U.S.	NNP	I-NP	LOC	the	cash	C
cash	NN	I-NP	O	U.S.	market	NC
market	NN	I-NP	O	cash	remains	NC
remains	VBZ	I-VP	O	market	well	NC
well	RB	I-ADVP	O	remains	above	NC
above	IN	I-PP	O	well	the	NC
the	DT	I-NP	O	above	benchmark	NC
benchmark	NN	I-NP	O	the	Thai	NC
Thai	NNP	I-NP	MISC	benchmark	price	C
price	NN	I-NP	O	Thai	which	NC
which	WDT	B-NP	O	price	limited	NC
limited	JJ	I-NP	O	which	gains	NC
gains	NNS	I-NP	O	limited	.	NC
.	.	O	O	gains	Rice	NC
Rice	NNP	I-NP	O	.	futures	C
futures	NNS	I-NP	O	Rice	volume	NC
volume	NN	I-NP	O	futures	was	NC
was	VBD	I-VP	O	volume	estimated	NC
estimated	VBN	I-VP	O	was	at	NC
at	IN	I-PP	O	estimated	450	NC
450	CD	I-NP	O	at	contracts	NC
contracts	NNS	I-NP	O	450	,	NC
,	,	O	O	contracts	up	NC
up	RB	I-ADVP	O	,	from	NC
from	IN	I-PP	O	up	202	NC
202	CD	I-NP	O	from	Friday	NC
Friday	NNP	B-NP	O	202	.	C
.	.	O	O	Friday	Rice	NC
Rice	NNP	I-NP	O	.	options	C
options	NNS	I-NP	O	Rice	volume	NC
volume	NN	I-NP	O	options	was	NC
was	VBD	I-VP	O	volume	estimated	NC
estimated	VBN	I-VP	O	was	at	NC
at	IN	I-PP	O	estimated	50	NC
