token	pos	chunk	NER	previous	following	capitals
SOCCER	NN	I-NP	O	.	-	C
-	:	O	O	SOCCER	RUSSIA	NC
RUSSIA	NNP	I-NP	LOC	-	AND	C
AND	CC	I-NP	O	RUSSIA	BRAZIL	C
BRAZIL	JJ	I-NP	LOC	AND	DRAW	C
DRAW	NN	I-NP	O	BRAZIL	2-2	C
2-2	CD	I-NP	O	DRAW	IN	NC
IN	IN	I-PP	O	2-2	FRIENDLY	C
FRIENDLY	NNP	I-NP	O	IN	.	C
.	.	O	O	FRIENDLY	MOSCOW	NC
MOSCOW	RB	I-ADVP	LOC	.	1996-08-28	C
1996-08-28	CD	I-NP	O	MOSCOW	Russia	NC
Russia	NNP	I-NP	LOC	1996-08-28	and	C
and	CC	I-NP	O	Russia	Brazil	NC
Brazil	NNP	I-NP	LOC	and	drew	C
drew	VBD	I-VP	O	Brazil	2-2	NC
2-2	RB	I-ADVP	O	drew	(	NC
(	(	O	O	2-2	halftime	NC
halftime	NN	I-NP	O	(	1-0	NC
1-0	CD	I-NP	O	halftime	)	NC
)	)	O	O	1-0	in	NC
in	IN	I-PP	O	)	a	NC
a	DT	I-NP	O	in	friendly	NC
friendly	JJ	I-NP	O	a	soccer	NC
soccer	NN	I-NP	O	friendly	international	NC
international	JJ	I-NP	O	soccer	on	NC
on	IN	I-PP	O	international	Wednesday	NC
Wednesday	NNP	I-NP	O	on	.	C
.	.	O	O	Wednesday	Scorers	NC
Scorers	NNS	I-NP	O	.	:	C
:	:	O	O	Scorers	Russia	NC
Russia	NNP	I-NP	LOC	:	-	C
-	:	O	O	Russia	Yuri	NC
Yuri	NNP	I-NP	PER	-	Nikiforov	C
Nikiforov	NNP	I-NP	PER	Yuri	(	C
(	(	O	O	Nikiforov	18th	NC
18th	JJ	I-NP	O	(	minute	NC
minute	NN	I-NP	O	18th	)	NC
)	)	O	O	minute	,	NC
,	,	O	O	)	Vladislav	NC
Vladislav	NNP	I-NP	PER	,	Rodimov	C
Rodimov	NNP	I-NP	PER	Vladislav	(	C
(	(	I-LST	O	Rodimov	80th	NC
