token	pos	chunk	NER	previous	following	capitals
EU	NNP	I-NP	ORG	 	rejects	C
rejects	VBZ	I-VP	O	EU	German	NC
German	JJ	I-NP	MISC	rejects	call	C
call	NN	I-NP	O	German	to	NC
to	TO	I-VP	O	call	boycott	NC
boycott	VB	I-VP	O	to	British	NC
British	JJ	I-NP	MISC	boycott	lamb	C
lamb	NN	I-NP	O	British	.	NC
.	.	O	O	lamb	Peter	NC
Peter	NNP	I-NP	PER	.	Blackburn	C
Blackburn	NNP	I-NP	PER	Peter	BRUSSELS	C
BRUSSELS	NNP	I-NP	LOC	Blackburn	1996-08-22	C
1996-08-22	CD	I-NP	O	BRUSSELS	The	NC
The	DT	I-NP	O	1996-08-22	European	C
European	NNP	I-NP	ORG	The	Commission	C
Commission	NNP	I-NP	ORG	European	said	C
said	VBD	I-VP	O	Commission	on	NC
on	IN	I-PP	O	said	Thursday	NC
Thursday	NNP	I-NP	O	on	it	C
it	PRP	B-NP	O	Thursday	disagreed	NC
disagreed	VBD	I-VP	O	it	with	NC
with	IN	I-PP	O	disagreed	German	NC
German	JJ	I-NP	MISC	with	advice	C
advice	NN	I-NP	O	German	to	NC
to	TO	I-PP	O	advice	consumers	NC
consumers	NNS	I-NP	O	to	to	NC
to	TO	I-VP	O	consumers	shun	NC
shun	VB	I-VP	O	to	British	NC
British	JJ	I-NP	MISC	shun	lamb	C
lamb	NN	I-NP	O	British	until	NC
until	IN	I-SBAR	O	lamb	scientists	NC
scientists	NNS	I-NP	O	until	determine	NC
determine	VBP	I-VP	O	scientists	whether	NC
whether	IN	I-SBAR	O	determine	mad	NC
mad	JJ	I-NP	O	whether	cow	NC
cow	NN	I-NP	O	mad	disease	NC
disease	NN	I-NP	O	cow	can	NC
can	MD	I-VP	O	disease	be	NC
be	VB	I-VP	O	can	transmitted	NC
transmitted	VBN	I-VP	O	be	to	NC
to	TO	I-PP	O	transmitted	sheep	NC
sheep	NN	I-NP	O	to	.	NC
.	.	O	O	sheep	Germany	NC
Germany	NNP	I-NP	LOC	.	's	C
's	POS	B-NP	O	Germany	representative	NC
representative	NN	I-NP	O	's	to	NC
to	TO	I-PP	O	representative	the	NC
the	DT	I-NP	O	to	European	NC
European	NNP	I-NP	ORG	the	Union	C
Union	NNP	I-NP	ORG	European	's	C
's	POS	B-NP	O	Union	veterinary	NC
veterinary	JJ	I-NP	O	's	committee	NC
committee	NN	I-NP	O	veterinary	Werner	NC
Werner	NNP	I-NP	PER	committee	Zwingmann	C
Zwingmann	NNP	I-NP	PER	Werner	said	C
said	VBD	I-VP	O	Zwingmann	on	NC
on	IN	I-PP	O	said	Wednesday	NC
Wednesday	NNP	I-NP	O	on	consumers	C
consumers	NNS	I-NP	O	Wednesday	should	NC
should	MD	I-VP	O	consumers	buy	NC
buy	VB	I-VP	O	should	sheepmeat	NC
sheepmeat	NN	I-NP	O	buy	from	NC
from	IN	I-PP	O	sheepmeat	countries	NC
countries	NNS	I-NP	O	from	other	NC
other	JJ	I-ADJP	O	countries	than	NC
than	IN	I-PP	O	other	Britain	NC
Britain	NNP	I-NP	LOC	than	until	C
until	IN	I-SBAR	O	Britain	the	NC
the	DT	I-NP	O	until	scientific	NC
scientific	JJ	I-NP	O	the	advice	NC
advice	NN	I-NP	O	scientific	was	NC
was	VBD	I-VP	O	advice	clearer	NC
clearer	JJR	I-ADJP	O	was	.	NC
.	.	O	O	clearer	""""	NC
""""	""""	O	O	.	We	NC
We	PRP	I-NP	O	""""	do	C
do	VBP	I-VP	O	We	n't	NC
n't	RB	I-VP	O	do	support	NC
support	VB	I-VP	O	n't	any	NC
any	DT	I-NP	O	support	such	NC
such	JJ	I-NP	O	any	recommendation	NC
