token	pos	chunk	NER	previous	following	capitals
,	,	O	O	boys	both	NC
both	DT	I-NP	O	,	aged	NC
aged	VBN	I-NP	O	both	under	NC
under	IN	I-PP	O	aged	10	NC
10	CD	I-NP	O	under	,	NC
,	,	O	O	10	because	NC
because	IN	I-SBAR	O	,	they	NC
they	PRP	I-NP	O	because	reminded	NC
reminded	VBD	I-VP	O	they	him	NC
him	PRP	I-NP	O	reminded	of	NC
of	IN	I-PP	O	him	his	NC
his	PRP$	I-NP	O	of	own	NC
own	JJ	I-NP	O	his	children	NC
children	NNS	I-NP	O	own	who	NC
who	WP	B-NP	O	children	live	NC
live	VBP	I-VP	O	who	with	NC
with	IN	I-PP	O	live	his	NC
his	PRP$	I-NP	O	with	former	NC
former	JJ	I-NP	O	his	wife	NC
wife	NN	I-NP	O	former	in	NC
in	IN	I-PP	O	wife	London	NC
London	NNP	I-NP	LOC	in	.	C
.	.	O	O	London	The	NC
The	DT	I-NP	O	.	prosecutor	C
prosecutor	NN	I-NP	O	The	's	NC
's	POS	B-NP	O	prosecutor	office	NC
office	NN	I-NP	O	's	said	NC
said	VBD	I-VP	O	office	no	NC
no	DT	I-NP	O	said	date	NC
date	NN	I-NP	O	no	had	NC
had	VBD	I-VP	O	date	yet	NC
yet	RB	I-NP	O	had	been	NC
been	VBN	I-VP	O	yet	set	NC
set	VBN	I-VP	O	been	for	NC
for	IN	I-PP	O	set	a	NC
a	DT	I-NP	O	for	trial	NC
trial	NN	I-NP	O	a	to	NC
to	TO	I-VP	O	trial	begin	NC
begin	VB	I-VP	O	to	as	NC
as	IN	I-PP	O	begin	investigations	NC
investigations	NNS	I-NP	O	as	had	NC
had	VBD	I-VP	O	investigations	first	NC
first	RB	I-ADVP	O	had	to	NC
to	TO	I-VP	O	first	be	NC
be	VB	I-VP	O	to	completed	NC
completed	VBN	I-VP	O	be	.	NC
.	.	O	O	completed	The	NC
The	DT	I-NP	O	.	British	C
British	JJ	I-NP	MISC	The	embassy	C
embassy	NN	I-NP	O	British	in	NC
in	IN	I-PP	O	embassy	Tirana	NC
Tirana	NNP	I-NP	LOC	in	said	C
said	VBD	I-VP	O	Tirana	it	NC
it	PRP	I-NP	O	said	had	NC
had	VBD	I-VP	O	it	sent	NC
sent	VBN	I-VP	O	had	an	NC
an	DT	I-NP	O	sent	embassy	NC
embassy	NN	I-NP	O	an	official	NC
official	JJ	I-ADJP	O	embassy	to	NC
to	TO	I-VP	O	official	talk	NC
talk	VB	I-VP	O	to	to	NC
to	TO	I-PP	O	talk	Thompson	NC
Thompson	NNP	I-NP	PER	to	who	C
who	WP	B-NP	O	Thompson	is	NC
is	VBZ	I-VP	O	who	being	NC
being	VBG	I-VP	O	is	held	NC
held	VBN	I-VP	O	being	in	NC
in	IN	I-PP	O	held	jail	NC
jail	NN	I-NP	O	in	.	NC
.	.	O	O	jail	The	NC
The	DT	I-NP	O	.	age	C
age	NN	I-NP	O	The	of	NC
of	IN	I-PP	O	age	consent	NC
consent	NN	I-NP	O	of	for	NC
for	IN	I-PP	O	consent	heterosexual	NC
heterosexual	JJ	I-NP	O	for	and	NC
and	CC	I-NP	O	heterosexual	homosexual	NC
homosexual	JJ	I-NP	O	and	sex	NC
sex	NN	I-NP	O	homosexual	in	NC
in	IN	I-PP	O	sex	Albania	NC
Albania	NNP	I-NP	LOC	in	is	C
is	VBZ	I-VP	O	Albania	14	NC
14	CD	I-NP	O	is	.	NC
.	.	O	O	14	A	NC
A	DT	I-NP	O	.	large	C
large	JJ	I-NP	O	A	number	NC
number	NN	I-NP	O	large	of	NC
of	IN	I-PP	O	number	destitute	NC
destitute	JJ	I-NP	O	of	children	NC
children	NNS	I-NP	O	destitute	can	NC
can	MD	I-VP	O	children	be	NC
be	VB	I-VP	O	can	seen	NC
seen	VBN	I-VP	O	be	begging	NC
begging	VBG	I-VP	O	seen	in	NC
in	IN	I-PP	O	begging	the	NC
the	DT	I-NP	O	in	streets	NC
streets	NNS	I-NP	O	the	of	NC
of	IN	I-PP	O	streets	impoverished	NC
impoverished	JJ	I-NP	O	of	Albania	NC
Albania	NNP	I-NP	LOC	impoverished	,	C
,	,	O	O	Albania	especially	NC
especially	RB	I-ADVP	O	,	in	NC
in	IN	I-PP	O	especially	towns	NC
towns	NNS	I-NP	O	in	and	NC
and	CC	I-NP	O	towns	resorts	NC
resorts	NNS	I-NP	O	and	visited	NC
visited	VBN	I-VP	O	resorts	by	NC
by	IN	I-PP	O	visited	foreigners	NC
foreigners	NNS	I-NP	O	by	.	NC
.	.	O	O	foreigners	Estonia	NC
Estonia	NNP	I-NP	LOC	.	assembly	C
assembly	NN	I-NP	O	Estonia	again	NC
again	RB	I-ADVP	O	assembly	fails	NC
fails	VBZ	I-VP	O	again	to	NC
to	TO	I-VP	O	fails	elect	NC
elect	VB	I-VP	O	to	president	NC
president	NN	I-NP	O	elect	.	NC
.	.	O	O	president	TALLINN	NC
TALLINN	NNP	I-NP	LOC	.	1996-08-27	C
1996-08-27	CD	I-NP	O	TALLINN	Estonia	NC
Estonia	NNP	I-NP	LOC	1996-08-27	's	C
's	POS	B-NP	O	Estonia	parliament	NC
parliament	NN	I-NP	O	's	again	NC
again	RB	I-ADVP	O	parliament	failed	NC
failed	VBD	I-VP	O	again	to	NC
to	TO	I-VP	O	failed	elect	NC
elect	VB	I-VP	O	to	a	NC
a	DT	I-NP	O	elect	new	NC
new	JJ	I-NP	O	a	state	NC
state	NN	I-NP	O	new	president	NC
president	NN	I-NP	O	state	on	NC
on	IN	I-PP	O	president	Tuesday	NC
Tuesday	NNP	I-NP	O	on	when	C
when	WRB	I-ADVP	O	Tuesday	neither	NC
neither	DT	I-NP	O	when	of	NC
of	IN	I-PP	O	neither	two	NC
two	CD	I-NP	O	of	candidates	NC
candidates	NNS	I-NP	O	two	secured	NC
secured	VBD	I-VP	O	candidates	a	NC
a	DT	I-NP	O	secured	majority	NC
majority	NN	I-NP	O	a	in	NC
in	IN	I-PP	O	majority	second-round	NC
second-round	NN	I-NP	O	in	voting	NC
voting	NN	I-NP	O	second-round	.	NC
.	.	O	O	voting	Incumbent	NC
Incumbent	JJ	I-NP	O	.	president	C
president	NN	I-NP	O	Incumbent	Lennart	NC
Lennart	NNP	I-NP	PER	president	Meri	C
Meri	NNP	I-NP	PER	Lennart	won	C
won	VBD	I-VP	O	Meri	49	NC
49	CD	I-NP	O	won	votes	NC
votes	NNS	I-NP	O	49	compared	NC
compared	VBN	I-PP	O	votes	to	NC
to	TO	B-PP	O	compared	34	NC
34	CD	I-NP	O	to	won	NC
won	VBD	I-VP	O	34	by	NC
by	IN	I-PP	O	won	his	NC
his	PRP$	I-NP	O	by	rival	NC
rival	NN	I-NP	O	his	,	NC
,	,	O	O	rival	deputy	NC
deputy	NN	I-NP	O	,	Parliamentary	NC
Parliamentary	NNP	B-NP	O	deputy	Speaker	C
Speaker	NNP	I-NP	O	Parliamentary	Arnold	C
Arnold	NNP	I-NP	PER	Speaker	Ruutel	C
Ruutel	NNP	I-NP	PER	Arnold	.	C
.	.	O	O	Ruutel	But	NC
But	CC	O	O	.	Meri	C
Meri	NNP	I-NP	PER	But	's	C
's	POS	B-NP	O	Meri	support	NC
support	NN	I-NP	O	's	was	NC
was	VBD	I-VP	O	support	not	NC
not	RB	O	O	was	enough	NC
enough	JJ	I-ADJP	O	not	for	NC
for	IN	I-PP	O	enough	the	NC
the	DT	I-NP	O	for	68	NC
68	CD	I-NP	O	the	needed	NC
needed	VBD	I-VP	O	68	for	NC
for	IN	I-PP	O	needed	election	NC
election	NN	I-NP	O	for	and	NC
and	CC	O	O	election	a	NC
a	DT	I-NP	O	and	third	NC
third	JJ	I-NP	O	a	secret	NC
secret	JJ	I-NP	O	third	ballot	NC
ballot	NN	I-NP	O	secret	will	NC
will	MD	I-VP	O	ballot	take	NC
take	VB	I-VP	O	will	place	NC
place	NN	I-NP	O	take	later	NC
later	RB	I-ADVP	O	place	in	NC
in	IN	I-PP	O	later	the	NC
the	DT	I-NP	O	in	day	NC
day	NN	I-NP	O	the	(	NC
(	(	O	O	day	1300	NC
1300	CD	I-NP	O	(	GMT	NC
GMT	NNP	O	MISC	1300	)	C
)	)	O	O	GMT	,	NC
,	,	O	O	)	parliamentary	NC
parliamentary	JJ	I-NP	O	,	officials	NC
officials	NNS	I-NP	O	parliamentary	said	NC
said	VBD	I-VP	O	officials	.	NC
.	.	O	O	said	To	NC
To	TO	I-VP	O	.	win	C
win	VB	I-VP	O	To	a	NC
a	DT	I-NP	O	win	clear	NC
clear	JJ	I-NP	O	a	mandate	NC
mandate	NN	I-NP	O	clear	for	NC
for	IN	I-PP	O	mandate	the	NC
the	DT	I-NP	O	for	five-year	NC
five-year	JJ	I-NP	O	the	presidential	NC
presidential	JJ	I-NP	O	five-year	term	NC
term	NN	I-NP	O	presidential	,	NC
,	,	O	O	term	a	NC
a	DT	I-NP	O	,	candidate	NC
candidate	NN	I-NP	O	a	must	NC
must	MD	I-VP	O	candidate	secure	NC
secure	VB	I-VP	O	must	68	NC
68	CD	I-NP	O	secure	votes	NC
votes	NNS	I-NP	O	68	from	NC
from	IN	I-PP	O	votes	the	NC
the	DT	I-NP	O	from	101-member	NC
101-member	JJ	I-NP	O	the	parliament	NC
parliament	NN	I-NP	O	101-member	.	NC
.	.	O	O	parliament	Enn	NC
Enn	NNP	I-NP	PER	.	Markvart	C
Markvart	NNP	I-NP	PER	Enn	,	C
,	,	O	O	Markvart	Chairman	NC
Chairman	NNP	I-NP	O	,	of	C
of	IN	I-PP	O	Chairman	the	NC
the	DT	I-NP	O	of	National	NC
National	NNP	I-NP	ORG	the	Election	C
Election	NNP	I-NP	ORG	National	Commission	C
Commission	NNP	I-NP	ORG	Election	,	C
,	,	O	O	Commission	said	NC
said	VBD	I-VP	O	,	96	NC
96	CD	I-NP	O	said	members	NC
members	NNS	I-NP	O	96	of	NC
of	IN	I-PP	O	members	parliament	NC
