token	pos	chunk	NER	previous	following	capitals
U.S.	NNP	I-NP	ORG	--	Municipal	C
Municipal	NNP	I-NP	ORG	U.S.	Desk	C
Desk	NNP	I-NP	ORG	Municipal	,	C
,	,	O	O	Desk	212-859-1650	NC
212-859-1650	CD	I-NP	O	,	Defiant	NC
Defiant	NNP	I-NP	O	212-859-1650	U.S.	C
U.S.	NNP	I-NP	LOC	Defiant	neo-Nazi	C
neo-Nazi	JJ	I-NP	MISC	U.S.	jailed	NC
jailed	VBN	I-VP	O	neo-Nazi	by	NC
by	IN	I-PP	O	jailed	German	NC
German	JJ	I-NP	MISC	by	court	C
court	NN	I-NP	O	German	.	NC
.	.	O	O	court	Andrew	NC
Andrew	NNP	I-NP	PER	.	Gray	C
Gray	NNP	I-NP	PER	Andrew	HAMBURG	C
HAMBURG	NNP	I-NP	LOC	Gray	,	C
,	,	O	O	HAMBURG	Germany	NC
Germany	NNP	I-NP	LOC	,	1996-08-22	C
1996-08-22	CD	I-NP	O	Germany	A	NC
A	DT	I-NP	O	1996-08-22	Hamburg	C
Hamburg	NNP	I-NP	LOC	A	court	C
court	NN	I-NP	O	Hamburg	sentenced	NC
sentenced	VBN	I-VP	O	court	U.S.	NC
U.S.	NNP	I-NP	LOC	sentenced	neo-Nazi	C
neo-Nazi	JJ	I-NP	MISC	U.S.	leader	NC
leader	NN	I-NP	O	neo-Nazi	Gary	NC
Gary	NNP	I-NP	PER	leader	Lauck	C
Lauck	NNP	I-NP	PER	Gary	on	C
on	IN	I-PP	O	Lauck	Thursday	NC
Thursday	NNP	I-NP	O	on	to	C
to	TO	I-PP	O	Thursday	four	NC
four	CD	I-NP	O	to	years	NC
years	NNS	I-NP	O	four	in	NC
in	IN	I-PP	O	years	prison	NC
prison	NN	I-NP	O	in	for	NC
for	IN	I-PP	O	prison	pumping	NC
pumping	VBG	I-VP	O	for	banned	NC
banned	VBN	I-VP	O	pumping	extremist	NC
extremist	NN	I-NP	O	banned	propaganda	NC
propaganda	NN	I-NP	O	extremist	into	NC
into	IN	I-PP	O	propaganda	Germany	NC
Germany	NNP	I-NP	LOC	into	from	C
from	IN	I-PP	O	Germany	his	NC
his	PRP$	I-NP	O	from	base	NC
base	NN	I-NP	O	his	in	NC
in	IN	I-PP	O	base	the	NC
the	DT	I-NP	O	in	United	NC
United	NNP	I-NP	LOC	the	States	C
States	NNP	I-NP	LOC	United	.	C
.	.	O	O	States	Lauck	NC
Lauck	NNP	I-NP	PER	.	,	C
,	,	O	O	Lauck	from	NC
from	IN	I-PP	O	,	Lincoln	NC
Lincoln	NNP	I-NP	LOC	from	,	C
,	,	O	O	Lincoln	Nebraska	NC
Nebraska	NNP	I-NP	LOC	,	,	C
,	,	O	O	Nebraska	yelled	NC
yelled	VBD	I-VP	O	,	a	NC
a	DT	I-NP	O	yelled	tirade	NC
tirade	NN	I-NP	O	a	of	NC
of	IN	I-PP	O	tirade	abuse	NC
abuse	NN	I-NP	O	of	at	NC
at	IN	I-PP	O	abuse	the	NC
the	DT	I-NP	O	at	court	NC
court	NN	I-NP	O	the	after	NC
after	IN	I-SBAR	O	court	his	NC
his	PRP$	I-NP	O	after	conviction	NC
conviction	NN	I-NP	O	his	for	NC
for	IN	I-PP	O	conviction	inciting	NC
inciting	VBG	I-VP	O	for	racial	NC
