token	pos	chunk	NER	previous	following	capitals
,	,	O	O	newspaper	alleging	NC
alleging	VBG	I-VP	O	,	it	NC
it	PRP	I-NP	O	alleging	was	NC
was	VBD	I-VP	O	it	pro-government	NC
pro-government	JJ	I-ADJP	O	was	.	NC
.	.	O	O	pro-government	Police	NC
Police	NNS	I-NP	O	.	used	C
used	VBD	I-VP	O	Police	batons	NC
batons	NNS	I-NP	O	used	and	NC
and	CC	O	O	batons	teargas	NC
teargas	NNS	I-NP	O	and	to	NC
to	TO	I-VP	O	teargas	try	NC
try	VB	I-VP	O	to	to	NC
to	TO	I-VP	O	try	disperse	NC
disperse	VB	I-VP	O	to	students	NC
students	NNS	I-NP	O	disperse	who	NC
who	WP	B-NP	O	students	were	NC
were	VBD	I-VP	O	who	throwing	NC
throwing	VBG	I-VP	O	were	stones	NC
stones	NNS	I-NP	O	throwing	and	NC
and	CC	O	O	stones	home-made	NC
home-made	JJ	I-NP	O	and	bombs	NC
bombs	NNS	I-NP	O	home-made	,	NC
,	,	O	O	bombs	witnesses	NC
witnesses	NNS	I-NP	O	,	said	NC
said	VBD	I-VP	O	witnesses	.	NC
.	.	O	O	said	The	NC
The	DT	I-NP	O	.	strike	C
strike	NN	I-NP	O	The	,	NC
,	,	O	O	strike	called	NC
called	VBN	I-VP	O	,	by	NC
by	IN	I-PP	O	called	the	NC
the	DT	I-NP	O	by	main	NC
main	JJ	I-NP	O	the	opposition	NC
opposition	NN	I-NP	O	main	Bangladesh	NC
Bangladesh	NNP	I-NP	ORG	opposition	Nationalist	C
Nationalist	JJ	I-NP	ORG	Bangladesh	Party	C
Party	NNP	I-NP	ORG	Nationalist	(	C
(	(	O	O	Party	BNP	NC
BNP	NNP	I-NP	ORG	(	)	C
)	)	O	O	BNP	,	NC
,	,	O	O	)	to	NC
to	TO	I-VP	O	,	denounce	NC
denounce	VB	I-VP	O	to	the	NC
the	DT	I-NP	O	denounce	deaths	NC
deaths	NNS	I-NP	O	the	of	NC
of	IN	I-PP	O	deaths	four	NC
four	CD	I-NP	O	of	students	NC
students	NNS	I-NP	O	four	killed	NC
killed	VBN	I-VP	O	students	by	NC
by	IN	I-PP	O	killed	police	NC
police	NN	I-NP	O	by	over	NC
over	IN	I-PP	O	police	the	NC
the	DT	I-NP	O	over	last	NC
last	JJ	I-NP	O	the	few	NC
few	JJ	I-NP	O	last	days	NC
days	NNS	I-NP	O	few	,	NC
,	,	O	O	days	coincided	NC
coincided	VBD	I-VP	O	,	with	NC
with	IN	I-PP	O	coincided	a	NC
a	DT	I-NP	O	with	visit	NC
visit	NN	I-NP	O	a	to	NC
to	TO	I-PP	O	visit	the	NC
the	DT	I-NP	O	to	area	NC
area	NN	I-NP	O	the	by	NC
by	IN	I-PP	O	area	Hasina	NC
Hasina	NNP	I-NP	PER	by	.	C
.	.	O	O	Hasina	Local	NC
Local	JJ	I-NP	O	.	officials	C
officials	NNS	I-NP	O	Local	said	NC
said	VBD	I-VP	O	officials	one	NC
one	CD	I-NP	O	said	policeman	NC
policeman	NN	I-NP	O	one	was	NC
was	VBD	I-VP	O	policeman	killed	NC
killed	VBN	I-VP	O	was	by	NC
by	IN	I-PP	O	killed	gunshots	NC
gunshots	NN	I-NP	O	by	during	NC
during	IN	I-PP	O	gunshots	clashes	NC
clashes	NNS	I-NP	O	during	with	NC
with	IN	I-PP	O	clashes	pro-opposition	NC
pro-opposition	JJ	I-NP	O	with	students	NC
students	NNS	I-NP	O	pro-opposition	on	NC
on	IN	I-PP	O	students	Thursday	NC
Thursday	NNP	I-NP	O	on	.	C
.	.	O	O	Thursday	Hasina	NC
Hasina	NNP	I-NP	PER	.	told	C
told	VBD	I-VP	O	Hasina	a	NC
a	DT	I-NP	O	told	cross	NC
cross	NN	I-NP	O	a	section	NC
section	NN	I-NP	O	cross	of	NC
of	IN	I-PP	O	section	people	NC
people	NNS	I-NP	O	of	at	NC
at	IN	I-PP	O	people	the	NC
the	DT	I-NP	O	at	Bogra	NC
Bogra	NNP	I-NP	LOC	the	police	C
police	NN	I-NP	O	Bogra	headquarters	NC
headquarters	NN	I-NP	O	police	on	NC
on	IN	I-PP	O	headquarters	Sunday	NC
Sunday	NNP	I-NP	O	on	that	C
that	IN	I-SBAR	O	Sunday	the	NC
the	DT	I-NP	O	that	government	NC
government	NN	I-NP	O	the	had	NC
had	VBD	I-VP	O	government	already	NC
already	RB	I-VP	O	had	suspended	NC
suspended	VBN	I-VP	O	already	three	NC
three	CD	I-NP	O	suspended	police	NC
police	NN	I-NP	O	three	officers	NC
officers	NNS	I-NP	O	police	and	NC
and	CC	O	O	officers	ordered	NC
ordered	VBD	I-VP	O	and	a	NC
a	DT	I-NP	O	ordered	judicial	NC
judicial	JJ	I-NP	O	a	probe	NC
probe	NN	I-NP	O	judicial	into	NC
into	IN	I-PP	O	probe	the	NC
the	DT	I-NP	O	into	violent	NC
violent	JJ	I-NP	O	the	incidents	NC
incidents	NNS	I-NP	O	violent	.	NC
.	.	O	O	incidents	The	NC
The	DT	I-NP	O	.	prime	C
prime	JJ	I-NP	O	The	minister	NC
minister	NN	I-NP	O	prime	offered	NC
offered	VBD	I-VP	O	minister	financial	NC
financial	JJ	I-NP	O	offered	grants	NC
grants	NNS	I-NP	O	financial	to	NC
to	TO	I-PP	O	grants	the	NC
the	DT	I-NP	O	to	families	NC
families	NNS	I-NP	O	the	of	NC
of	IN	I-PP	O	families	those	NC
those	DT	I-NP	O	of	killed	NC
killed	VBN	I-VP	O	those	,	NC
,	,	O	O	killed	ordered	NC
ordered	VBD	I-VP	O	,	the	NC
the	DT	I-NP	O	ordered	best	NC
best	JJS	I-NP	O	the	possible	NC
possible	JJ	I-NP	O	best	medical	NC
medical	JJ	I-NP	O	possible	care	NC
care	NN	I-NP	O	medical	for	NC
for	IN	I-PP	O	care	the	NC
the	DT	I-NP	O	for	injured	NC
injured	JJ	I-NP	O	the	and	NC
and	CC	O	O	injured	urged	NC
urged	VBD	I-VP	O	and	Bogra	NC
Bogra	NNP	I-NP	LOC	urged	residents	C
residents	NNS	I-NP	O	Bogra	to	NC
to	TO	I-VP	O	residents	call	NC
call	VB	I-VP	O	to	off	NC
off	IN	I-PP	O	call	the	NC
the	DT	I-NP	O	off	strike	NC
strike	NN	I-NP	O	the	.	NC
.	.	O	O	strike	Opposition	NC
Opposition	NN	I-NP	O	.	legislators	C
legislators	NNS	I-NP	O	Opposition	walked	NC
walked	VBD	I-VP	O	legislators	out	NC
out	IN	I-PP	O	walked	of	NC
of	IN	B-PP	O	out	parliament	NC
parliament	NN	I-NP	O	of	in	NC
in	IN	I-PP	O	parliament	Dhaka	NC
Dhaka	NNP	I-NP	LOC	in	on	C
on	IN	I-PP	O	Dhaka	Sunday	NC
Sunday	NNP	I-NP	O	on	denouncing	C
denouncing	VBG	I-VP	O	Sunday	""""	NC
""""	""""	O	O	denouncing	unprecedented	NC
unprecedented	JJ	I-NP	O	""""	police	NC
police	NN	I-NP	O	unprecedented	barbarity	NC
barbarity	NN	I-NP	O	police	""""	NC
""""	""""	O	O	barbarity	against	NC
against	IN	I-PP	O	""""	opposition	NC
opposition	NN	I-NP	O	against	students	NC
students	NNS	I-NP	O	opposition	and	NC
and	CC	I-NP	O	students	supporters	NC
supporters	NNS	I-NP	O	and	.	NC
.	.	O	O	supporters	They	NC
They	PRP	I-NP	O	.	renewed	C
renewed	VBD	I-VP	O	They	their	NC
their	PRP$	I-NP	O	renewed	call	NC
call	NN	I-NP	O	their	for	NC
for	IN	I-PP	O	call	the	NC
the	DT	I-NP	O	for	resignation	NC
resignation	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	resignation	Home	NC
Home	NNP	I-NP	O	of	(	C
(	(	O	O	Home	Interior	NC
Interior	NNP	I-NP	O	(	)	C
)	)	O	O	Interior	Minister	NC
Minister	NNP	I-NP	O	)	Rafiqul	C
Rafiqul	NNP	I-NP	PER	Minister	Islam	C
Islam	NNP	I-NP	PER	Rafiqul	.	C
.	.	O	O	Islam	Hundreds	NC
Hundreds	NNS	I-NP	O	.	of	C
of	IN	I-PP	O	Hundreds	police	NC
police	NNS	I-NP	O	of	raided	NC
raided	VBD	I-VP	O	police	the	NC
the	DT	I-NP	O	raided	Dhaka	NC
Dhaka	NNP	I-NP	LOC	the	university	C
university	NN	I-NP	O	Dhaka	on	NC
on	IN	I-PP	O	university	Sunday	NC
Sunday	NNP	I-NP	O	on	,	C
,	,	O	O	Sunday	arresting	NC
arresting	VBG	I-VP	O	,	nearly	NC
nearly	RB	I-NP	O	arresting	30	NC
30	CD	I-NP	O	nearly	outsiders	NC
outsiders	NNS	I-NP	O	30	who	NC
who	WP	B-NP	O	outsiders	had	NC
had	VBD	I-VP	O	who	been	NC
been	VBN	I-VP	O	had	living	NC
living	VBG	I-VP	O	been	in	NC
in	IN	I-PP	O	living	student	NC
student	NN	I-NP	O	in	dormitories	NC
dormitories	NNS	I-NP	O	student	and	NC
and	CC	O	O	dormitories	seizing	NC
seizing	VBG	I-VP	O	and	weapons	NC
weapons	NNS	I-NP	O	seizing	,	NC
,	,	O	O	weapons	university	NC
university	NN	I-NP	O	,	officials	NC
officials	NNS	I-NP	O	university	said	NC
said	VBD	I-VP	O	officials	.	NC
.	.	O	O	said	Police	NC
Police	NNS	I-NP	O	.	stormed	C
stormed	VBD	I-VP	O	Police	ten	NC
ten	CD	I-NP	O	stormed	residence	NC
residence	NN	I-NP	O	ten	halls	NC
halls	NNS	I-NP	O	residence	on	NC
on	IN	I-PP	O	halls	the	NC
the	DT	I-NP	O	on	campus	NC
campus	NN	I-NP	O	the	,	NC
,	,	O	O	campus	flushed	NC
flushed	VBN	I-VP	O	,	out	NC
out	RP	I-PRT	O	flushed	people	NC
people	NNS	I-NP	O	out	at	NC
at	IN	I-PP	O	people	gunpoint	NC
gunpoint	NN	I-NP	O	at	and	NC
and	CC	O	O	gunpoint	searched	NC
searched	VBD	I-VP	O	and	their	NC
their	PRP$	I-NP	O	searched	baggage	NC
baggage	NN	I-NP	O	their	.	NC
.	.	O	O	baggage	They	NC
They	PRP	I-NP	O	.	seized	C
seized	VBD	I-VP	O	They	revolvers	NC
revolvers	NNS	I-NP	O	seized	,	NC
,	,	O	O	revolvers	sawn-off	NC
sawn-off	JJ	I-NP	O	,	rifles	NC
rifles	NNS	I-NP	O	sawn-off	,	NC
,	,	O	O	rifles	shotguns	NC
shotguns	NNS	I-NP	O	,	and	NC
and	CC	O	O	shotguns	knives	NC
knives	NNS	I-NP	O	and	.	NC
.	.	O	O	knives	The	NC
The	DT	I-NP	O	.	students	C
students	NNS	I-NP	O	The	were	NC
were	VBD	I-VP	O	students	later	NC
later	JJ	I-VP	O	were	allowed	NC
allowed	VBN	I-VP	O	later	to	NC
to	TO	I-VP	O	allowed	return	NC
return	VB	I-VP	O	to	.	NC
.	.	O	O	return	The	NC
The	DT	I-NP	O	.	swoop	C
swoop	NN	I-NP	O	The	followed	NC
followed	VBD	I-VP	O	swoop	the	NC
the	DT	I-NP	O	followed	resignation	NC
resignation	NN	I-NP	O	the	of	NC
of	IN	I-PP	O	resignation	the	NC
the	DT	I-NP	O	of	university	NC
university	NN	I-NP	O	the	's	NC
's	POS	B-NP	O	university	Vice-Chancellor	NC
Vice-Chancellor	NNP	I-NP	O	's	Dr.	C
Dr.	NNP	I-NP	O	Vice-Chancellor	Emajuddin	C
Emajuddin	NNP	I-NP	PER	Dr.	Ahmed	C
Ahmed	NNP	I-NP	PER	Emajuddin	on	C
on	IN	I-PP	O	Ahmed	Saturday	NC
Saturday	NNP	I-NP	O	on	over	C
over	IN	I-PP	O	Saturday	the	NC
the	DT	I-NP	O	over	deteriorating	NC
deteriorating	VBG	I-NP	O	the	law	NC
law	NN	I-NP	O	deteriorating	and	NC
and	CC	I-NP	O	law	order	NC
order	NN	I-NP	O	and	situation	NC
situation	NN	I-NP	O	order	on	NC
on	IN	I-PP	O	situation	the	NC
the	DT	I-NP	O	on	campus	NC
campus	NN	I-NP	O	the	.	NC
.	.	O	O	campus	Authorities	NC
Authorities	NNS	I-NP	O	.	closed	C
closed	VBD	I-VP	O	Authorities	down	NC
down	IN	I-PP	O	closed	the	NC
the	DT	I-NP	O	down	28,000-student	NC
28,000-student	JJ	I-NP	O	the	university	NC
university	NN	I-NP	O	28,000-student	on	NC
on	IN	I-PP	O	university	Wednedsay	NC
Wednedsay	NNP	I-NP	O	on	following	C
following	VBG	I-PP	O	Wednedsay	gunbattles	NC
gunbattles	NNS	I-NP	O	following	between	NC
between	IN	I-PP	O	gunbattles	students	NC
students	NNS	I-NP	O	between	and	NC
and	CC	I-NP	O	students	police	NC
police	NNS	I-NP	O	and	.	NC
.	.	O	O	police	Police	NC
Police	NNS	I-NP	O	.	said	C
said	VBD	I-VP	O	Police	they	NC
they	PRP	I-NP	O	said	fought	NC
fought	VBD	I-VP	O	they	armed	NC
armed	JJ	I-NP	O	fought	activists	NC
activists	NNS	I-NP	O	armed	from	NC
from	IN	I-PP	O	activists	the	NC
the	DT	I-NP	O	from	BNP	NC
